,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,153.0,-92.0,-144.0,-88.0,90.0,-117.0,-96.0,-93.0,-95.0,-90.0,-85.0,-72.0,-0.8910065241883678,-0.03489949670250073,-0.8090169943749473,0.03489949670250108,6.123233995736766e-17,-0.45399049973954675,-0.10452846326765333,-0.05233595624294362,-0.08715574274765824,6.123233995736766e-17,0.08715574274765814,0.30901699437494745,0.45399049973954686,-0.9993908270190958,-0.5877852522924732,-0.9993908270190958,1.0,-0.8910065241883679,-0.9945218953682734,-0.9986295347545738,-0.9961946980917455,-1.0,-0.9961946980917455,-0.9510565162951535
1,180.0,-92.0,-141.0,-86.0,135.0,-117.0,-95.0,-93.0,-95.0,-90.0,-86.0,-85.0,-1.0,-0.03489949670250073,-0.7771459614569707,0.06975647374412546,-0.7071067811865475,-0.45399049973954675,-0.08715574274765824,-0.05233595624294362,-0.08715574274765824,6.123233995736766e-17,0.06975647374412546,0.08715574274765814,1.2246467991473532e-16,-0.9993908270190958,-0.6293203910498377,-0.9975640502598242,0.7071067811865476,-0.8910065241883679,-0.9961946980917455,-0.9986295347545738,-0.9961946980917455,-1.0,-0.9975640502598242,-0.9961946980917455
2,0.0,-94.0,-146.0,96.0,0.0,-90.0,-96.0,-95.0,-96.0,-92.0,-86.0,-85.0,1.0,-0.06975647374412533,-0.8290375725550416,-0.10452846326765333,1.0,6.123233995736766e-17,-0.10452846326765333,-0.08715574274765824,-0.10452846326765333,-0.03489949670250073,0.06975647374412546,0.08715574274765814,0.0,-0.9975640502598242,-0.5591929034707469,0.9945218953682734,0.0,-1.0,-0.9945218953682734,-0.9961946980917455,-0.9945218953682734,-0.9993908270190958,-0.9975640502598242,-0.9961946980917455
3,0.0,-92.0,-144.0,97.0,0.0,-90.0,-94.0,-93.0,-95.0,-92.0,-84.0,-85.0,1.0,-0.03489949670250073,-0.8090169943749473,-0.12186934340514737,1.0,6.123233995736766e-17,-0.06975647374412533,-0.05233595624294362,-0.08715574274765824,-0.03489949670250073,0.10452846326765346,0.08715574274765814,0.0,-0.9993908270190958,-0.5877852522924732,0.9925461516413221,0.0,-1.0,-0.9975640502598242,-0.9986295347545738,-0.9961946980917455,-0.9993908270190958,-0.9945218953682733,-0.9961946980917455
4,0.0,-94.0,-148.0,45.0,0.0,92.0,-92.0,-97.0,-112.0,-75.0,-84.0,-175.0,1.0,-0.06975647374412533,-0.848048096156426,0.7071067811865476,1.0,-0.03489949670250073,-0.03489949670250073,-0.12186934340514737,-0.37460659341591207,0.25881904510252074,0.10452846326765346,-0.9961946980917455,0.0,-0.9975640502598242,-0.5299192642332049,0.7071067811865476,0.0,0.9993908270190958,-0.9993908270190958,-0.9925461516413221,-0.9271838545667874,-0.9659258262890683,-0.9945218953682733,-0.08715574274765864
5,0.0,-94.0,-146.0,97.0,-135.0,-90.0,-97.0,-97.0,-93.0,-75.0,-84.0,-90.0,1.0,-0.06975647374412533,-0.8290375725550416,-0.12186934340514737,-0.7071067811865475,6.123233995736766e-17,-0.12186934340514737,-0.12186934340514737,-0.05233595624294362,0.25881904510252074,0.10452846326765346,6.123233995736766e-17,0.0,-0.9975640502598242,-0.5591929034707469,0.9925461516413221,-0.7071067811865476,-1.0,-0.9925461516413221,-0.9925461516413221,-0.9986295347545738,-0.9659258262890683,-0.9945218953682733,-1.0
6,0.0,-94.0,-145.0,99.0,180.0,-90.0,-95.0,-97.0,-95.0,-87.0,-84.0,-7.0,1.0,-0.06975647374412533,-0.8191520442889916,-0.15643446504023104,-1.0,6.123233995736766e-17,-0.08715574274765824,-0.12186934340514737,-0.08715574274765824,0.052335956242943966,0.10452846326765346,0.992546151641322,0.0,-0.9975640502598242,-0.5735764363510464,0.9876883405951377,1.2246467991473532e-16,-1.0,-0.9961946980917455,-0.9925461516413221,-0.9961946980917455,-0.9986295347545738,-0.9945218953682733,-0.12186934340514748
7,0.0,-96.0,-69.0,96.0,116.0,-59.0,-92.0,-68.0,-114.0,-177.0,-84.0,-90.0,1.0,-0.10452846326765333,0.3583679495453004,-0.10452846326765333,-0.4383711467890775,0.5150380749100543,-0.03489949670250073,0.37460659341591196,-0.4067366430758001,-0.9986295347545738,0.10452846326765346,6.123233995736766e-17,0.0,-0.9945218953682734,-0.9335804264972017,0.9945218953682734,0.8987940462991669,-0.8571673007021122,-0.9993908270190958,-0.9271838545667874,-0.913545457642601,-0.05233595624294381,-0.9945218953682733,-1.0
8,-27.0,-94.0,-69.0,99.0,115.0,0.0,-80.0,-68.0,108.0,-178.0,-85.0,-7.0,0.8910065241883679,-0.06975647374412533,0.3583679495453004,-0.15643446504023104,-0.42261826174069933,1.0,0.17364817766693041,0.37460659341591196,-0.30901699437494734,-0.9993908270190958,0.08715574274765814,0.992546151641322,-0.45399049973954675,-0.9975640502598242,-0.9335804264972017,0.9876883405951377,0.90630778703665,0.0,-0.984807753012208,-0.9271838545667874,0.9510565162951536,-0.0348994967025007,-0.9961946980917455,-0.12186934340514748
9,-42.0,-96.0,-90.0,96.0,116.0,0.0,-80.0,-88.0,100.0,-177.0,-88.0,-90.0,0.7431448254773942,-0.10452846326765333,6.123233995736766e-17,-0.10452846326765333,-0.4383711467890775,1.0,0.17364817766693041,0.03489949670250108,-0.1736481776669303,-0.9986295347545738,0.03489949670250108,6.123233995736766e-17,-0.6691306063588582,-0.9945218953682734,-1.0,0.9945218953682734,0.8987940462991669,0.0,-0.984807753012208,-0.9993908270190958,0.984807753012208,-0.05233595624294381,-0.9993908270190958,-1.0
