,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,180.0,-90.0,-88.0,-90.0,-68.0,0.0,-87.0,-85.0,-93.0,-87.0,-88.0,-97.0,-1.0,6.123233995736766e-17,0.03489949670250108,6.123233995736766e-17,0.37460659341591196,1.0,0.052335956242943966,0.08715574274765814,-0.05233595624294362,0.052335956242943966,0.03489949670250108,-0.12186934340514737,1.2246467991473532e-16,-1.0,-0.9993908270190958,-1.0,-0.9271838545667874,0.0,-0.9986295347545738,-0.9961946980917455,-0.9986295347545738,-0.9986295347545738,-0.9993908270190958,-0.9925461516413221
1,-90.0,0.0,18.0,-90.0,-63.0,-27.0,-34.0,-22.0,-90.0,-92.0,-90.0,-92.0,6.123233995736766e-17,1.0,0.9510565162951535,6.123233995736766e-17,0.4539904997395468,0.8910065241883679,0.8290375725550417,0.9271838545667874,6.123233995736766e-17,-0.03489949670250073,6.123233995736766e-17,-0.03489949670250073,-1.0,0.0,0.3090169943749474,-1.0,-0.8910065241883678,-0.45399049973954675,-0.5591929034707469,-0.374606593415912,-1.0,-0.9993908270190958,-1.0,-0.9993908270190958
2,180.0,-90.0,-88.0,-90.0,-72.0,-90.0,-85.0,-84.0,-93.0,-88.0,-90.0,-97.0,-1.0,6.123233995736766e-17,0.03489949670250108,6.123233995736766e-17,0.30901699437494745,6.123233995736766e-17,0.08715574274765814,0.10452846326765346,-0.05233595624294362,0.03489949670250108,6.123233995736766e-17,-0.12186934340514737,1.2246467991473532e-16,-1.0,-0.9993908270190958,-1.0,-0.9510565162951535,-1.0,-0.9961946980917455,-0.9945218953682733,-0.9986295347545738,-0.9993908270190958,-1.0,-0.9925461516413221
3,135.0,-90.0,-88.0,-90.0,-76.0,-90.0,-85.0,-84.0,-93.0,-92.0,-92.0,-135.0,-0.7071067811865475,6.123233995736766e-17,0.03489949670250108,6.123233995736766e-17,0.2419218955996679,6.123233995736766e-17,0.08715574274765814,0.10452846326765346,-0.05233595624294362,-0.03489949670250073,-0.03489949670250073,-0.7071067811865475,0.7071067811865476,-1.0,-0.9993908270190958,-1.0,-0.9702957262759965,-1.0,-0.9961946980917455,-0.9945218953682733,-0.9986295347545738,-0.9993908270190958,-0.9993908270190958,-0.7071067811865476
4,180.0,-68.0,-88.0,-98.0,-72.0,-135.0,-87.0,-85.0,-93.0,-87.0,-90.0,-146.0,-1.0,0.37460659341591196,0.03489949670250108,-0.13917310096006535,0.30901699437494745,-0.7071067811865475,0.052335956242943966,0.08715574274765814,-0.05233595624294362,0.052335956242943966,6.123233995736766e-17,-0.8290375725550416,1.2246467991473532e-16,-0.9271838545667874,-0.9993908270190958,-0.9902680687415704,-0.9510565162951535,-0.7071067811865476,-0.9986295347545738,-0.9961946980917455,-0.9986295347545738,-0.9986295347545738,-1.0,-0.5591929034707469
5,180.0,-73.0,-88.0,-99.0,-56.0,0.0,-88.0,-84.0,-93.0,-88.0,-90.0,-96.0,-1.0,0.29237170472273677,0.03489949670250108,-0.15643446504023104,0.5591929034707468,1.0,0.03489949670250108,0.10452846326765346,-0.05233595624294362,0.03489949670250108,6.123233995736766e-17,-0.10452846326765333,1.2246467991473532e-16,-0.9563047559630354,-0.9993908270190958,-0.9876883405951377,-0.8290375725550417,0.0,-0.9993908270190958,-0.9945218953682733,-0.9986295347545738,-0.9993908270190958,-1.0,-0.9945218953682734
6,-135.0,-58.0,-90.0,-97.0,-53.0,-90.0,-85.0,-84.0,-95.0,-90.0,-88.0,180.0,-0.7071067811865475,0.5299192642332049,6.123233995736766e-17,-0.12186934340514737,0.6018150231520484,6.123233995736766e-17,0.08715574274765814,0.10452846326765346,-0.08715574274765824,6.123233995736766e-17,0.03489949670250108,-1.0,-0.7071067811865476,-0.8480480961564261,-1.0,-0.9925461516413221,-0.7986355100472928,-1.0,-0.9961946980917455,-0.9945218953682733,-0.9961946980917455,-1.0,-0.9993908270190958,1.2246467991473532e-16
7,180.0,-72.0,-88.0,-99.0,-63.0,-153.0,-87.0,-82.0,-96.0,-89.0,-88.0,80.0,-1.0,0.30901699437494745,0.03489949670250108,-0.15643446504023104,0.4539904997395468,-0.8910065241883678,0.052335956242943966,0.1391731009600657,-0.10452846326765333,0.017452406437283376,0.03489949670250108,0.17364817766693041,1.2246467991473532e-16,-0.9510565162951535,-0.9993908270190958,-0.9876883405951377,-0.8910065241883678,-0.45399049973954686,-0.9986295347545738,-0.9902680687415703,-0.9945218953682734,-0.9998476951563913,-0.9993908270190958,0.984807753012208
8,-135.0,-92.0,-90.0,-72.0,-56.0,0.0,-87.0,-85.0,-95.0,-88.0,-85.0,80.0,-0.7071067811865475,-0.03489949670250073,6.123233995736766e-17,0.30901699437494745,0.5591929034707468,1.0,0.052335956242943966,0.08715574274765814,-0.08715574274765824,0.03489949670250108,0.08715574274765814,0.17364817766693041,-0.7071067811865476,-0.9993908270190958,-1.0,-0.9510565162951535,-0.8290375725550417,0.0,-0.9986295347545738,-0.9961946980917455,-0.9961946980917455,-0.9993908270190958,-0.9961946980917455,0.984807753012208
9,180.0,-95.0,-88.0,-79.0,-68.0,-90.0,-88.0,-81.0,-96.0,-93.0,77.0,77.0,-1.0,-0.08715574274765824,0.03489949670250108,0.19080899537654492,0.37460659341591196,6.123233995736766e-17,0.03489949670250108,0.15643446504023092,-0.10452846326765333,-0.05233595624294362,0.22495105434386492,0.22495105434386492,1.2246467991473532e-16,-0.9961946980917455,-0.9993908270190958,-0.981627183447664,-0.9271838545667874,-1.0,-0.9993908270190958,-0.9876883405951378,-0.9945218953682734,-0.9986295347545738,0.9743700647852352,0.9743700647852352
